id,close,high,low,open,vp,vwap,previous,volume,DATE
5f2110acb19b0b519af06cb2,34.9,35,34.9,34.95,0,34.9,34.9,0,2020-07-29
5f1fbf2bb19b0b519aef64ae,34.95,35,34.9,35,0,34.95,34.85,0,2020-07-28
5f1e792bb19b0b519aee747f,34.95,35,34.35,0,0,34.95,34.35,0,2020-07-27
5f1a8252b19b0b519aec0bde,35,35,34.25,0,0,35,34.3,0,2020-07-24
5f19344bb19b0b519aeaf34f,34.35,34.5,34.1,34.1,0,34.35,34.25,0,2020-07-23
5f17da96b19b0b519ae9f2f4,34.45,35,34.25,35,0,34.45,34.8,0,2020-07-22
5f168ca6b19b0b519ae8f966,34.5,35.25,34.25,35.1,0,34.5,35.05,0,2020-07-21
5f153c47b19b0b519ae80d5e,35,35.3,34.95,0,0,35,35.25,0,2020-07-20
5f1141e9b19b0b519ae5fe0b,35,35.3,34.95,0,0,35,35.1,0,2020-07-17
5f0fed2eb19b0b519ae4e025,35,35.6,35,0,0,35,35.4,0,2020-07-16
5f0e9dc9b19b0b519ae3b56d,35.4,35.5,35.1,35.5,0,35.4,34.75,0,2020-07-15
5f0d50eeb19b0b519ae2abc7,35.1,35.5,34.4,35,0,35.1,34.05,0,2020-07-14
5f0bfd16b19b0b519ae1a579,34.5,35,34,0,0,34.5,34.05,0,2020-07-13
5f080d51b19b0b519adf7a4f,34.1,34.2,33.95,33.95,0,34.1,34,0,2020-07-10
5f06be1eb19b0b519ade6604,33.75,34.2,33.75,0,0,33.75,34.2,0,2020-07-09
5f0590f6b19b0b519add8439,34.15,35.5,34,0,0,34.15,34.6,0,2020-07-08
5f041372b19b0b519adc475f,35,35.5,34.55,35.5,0,35,34.65,0,2020-07-07
5f02c61ab19b0b519adb507e,34.45,35.6,34.4,0,0,34.45,35.05,0,2020-07-06
5efeca91b19b0b519ad93a24,35,35.9,34.9,34.9,0,35,35,0,2020-07-03
5efd8280b19b0b519ad82216,34.9,36,34.8,0,0,34.9,36.35,0,2020-07-02
5efc2c42b19b0b519ad6f83c,36.35,36.4,35.75,0,0,36.35,36.35,0,2020-07-01
5efae7a7b19b0b519ad5ea0a,36,36.8,35.95,0,0,36,36.4,0,2020-06-30
5ef99ae1b19b0b519ad4b6c9,36.4,36.8,36,36.8,0,36.4,36.4,0,2020-06-29
5ef59728b19b0b519ad2869c,36,37.25,36,36.5,0,36,36.8,0,2020-06-26
5ef4492bb19b0b519ad16ebe,37,37,36.5,0,0,37,36.7,0,2020-06-25
5ef3129fb19b0b519ad068b5,37,37.5,36.2,36.2,0,37,36.5,0,2020-06-24
5ef1a3c8b19b0b519acebd22,36.5,37,36.2,36.5,0,36.5,36.1,0,2020-06-23
5ef05f36b19b0b519acdc49d,36.1,36.5,36,0,0,36.1,36.15,0,2020-06-22
5eec56bfb19b0b519acb4b77,36.15,36.5,36,36.5,0,36.15,36.05,0,2020-06-19
5eeb16deb19b0b519aca0533,36.5,36.5,36,36.5,0,36.5,36,0,2020-06-18
5ee9b878b19b0b519ac8c0cc,36.1,36.5,35.95,0,0,36.1,35.95,0,2020-06-17
5ee8602eb19b0b519ac7609b,36,36,35.25,35.25,0,36,35.5,0,2020-06-16
5ee71a21b19b0b519ac601d3,35.45,36,35.1,0,0,35.45,35,0,2020-06-15
5ee3283bb19b0b519ac3aa6a,36,36,35,35.5,0,36,35,0,2020-06-12
5ee1cd21b19b0b519ac23870,35,35.5,34.9,0,0,35,35,0,2020-06-11
5ee0862db19b0b519ac0d438,35,35.5,34.95,35.5,0,35,35.15,0,2020-06-10
5edf28ecb19b0b519abf67d1,35.2,36,35.2,0,0,35.2,35.2,0,2020-06-09
5edde0d4b19b0b519abe363d,35.2,37.25,35,35.5,0,35.2,34.9,0,2020-06-08
5ed9e2eab19b0b519abb6c75,34.8,35.5,34.75,35.5,0,34.8,34.9,0,2020-06-05
5ed89878b19b0b519aba4f69,34.9,36,34.75,36,0,34.9,34.95,0,2020-06-04
5ed75fa0b19b0b519ab961a2,34.95,35.5,34.95,0,0,34.95,35.45,0,2020-06-03
5ed5fbc1b19b0b519ab81960,35.3,35.5,35.2,35.5,0,35.3,35.45,0,2020-06-02
5ed0c555b19b0b519ab4e740,36.2,36.75,35,36.75,0,36.2,36.2,0,2020-05-29
5ecf539eb19b0b519ab30cb2,36.5,37,36,37,25884020,36.19,35.65,715200,2020-05-28
5ece021fb19b0b519ab15693,35.65,37,35.4,35.4,146755840,35.67,35.75,4114100,2020-05-27
5eccb09eb19b0b519aaf933d,35.4,36.4,34,36.4,154348992,35.75,36.3,4317100,2020-05-26
5ec76a9eb19b0b519aaac28e,36.5,37,36,36.5,313478944,36.28,36,8639400,2020-05-22
5ec6191fb19b0b519aa913c5,36.5,37,35.8,36.95,108160224,36,37.05,3004700,2020-05-21
5ec4c79eb19b0b519aa75292,37,37.5,36.9,37.5,3684185,37.03,37.6,99500,2020-05-20
5ec3761fb19b0b519aa5b5eb,37.05,38.4,37,38.4,87905136,37.59,36.05,2338600,2020-05-19
5ec2249eb19b0b519aa4169f,37.8,38.5,35.65,35.65,12943305,36.03,35.65,359200,2020-05-18
5ebe301eb19b0b519aa0f4e6,35.65,37.5,35.45,36.5,150315568,35.64,35.9,4217400,2020-05-15
5ebcde9fb19b0b519a9f5093,36,38,35.5,38,36220204,35.88,38,1009400,2020-05-14
5ebb8d1fb19b0b519a9d9b87,38,38.95,37.8,38.95,50325000,37.98,38.95,1324900,2020-05-13
5eba3b9eb19b0b519a9bca3e,38.85,39.95,38.75,39.05,240270800,38.94,39.05,6169500,2020-05-12
5eb8ea1fb19b0b519a9a136f,39.05,39.5,38.5,39,10148595,39.03,39.05,260000,2020-05-11
5eb4f59eb19b0b519a9730dd,39,40.8,39,40.8,44157688,39.06,39.25,1130400,2020-05-08
5eb3a41eb19b0b519a957eae,40,42,39,42,93458624,39.26,41.95,2380200,2020-05-07
5eb2529eb19b0b519a93fac4,42.2,42.5,40,40,198017968,41.94,38.75,4721000,2020-05-06
5eb1011eb19b0b519a925371,39.5,39.5,38,38,72297984,38.74,38.4,1866200,2020-05-05
5eafa1c4b19b0b519a905558,38,39,37.8,38,103771280,38.38,37,2704100,2020-05-04
5eaa699ef17e20a33af70667,37.5,37.5,36.1,36.65,54198552,37.01,37.5,1464300,2020-04-30
5ea9181ef17e20a33af4ff0e,36.5,36.5,35.85,36,10555105,36.31,35.8,290700,2020-04-29
5ea7c69ef17e20a33af3373a,36,36,35.4,35.5,45094620,35.81,36.95,1259300,2020-04-28
5ea6751ff17e20a33af18c71,37.5,37.5,36.65,37,87682704,36.93,36.6,2374500,2020-04-27
5ea280a2f17e20a33aee522f,36.5,37,36.5,37,310500896,36.61,36.65,8481200,2020-04-24
5ea12f1ef17e20a33aebfd33,36.6,37,36.55,37,37172220,36.64,36.75,1014500,2020-04-23
5e9fdd9ef17e20a33ae9fb5a,36.6,37,36.5,37,33328756,36.73,37,907400,2020-04-22
5e9e8c1ef17e20a33ae85c42,37,38.95,35.85,35.9,104833608,36.99,35.95,2834300,2020-04-21
5e9d3a9ef17e20a33ae575c2,36,37.5,35.05,35.5,27967600,35.96,34.6,777800,2020-04-20
5e99461ef17e20a33ae1c390,34.5,35,34.5,35,328040704,34.6,35.05,9479700,2020-04-17
5e97f49ef17e20a33adfe245,35,36,34.6,35.95,84262720,35.03,35,2405600,2020-04-16
5e96a31ef17e20a33ade6073,35,36,34.9,36,67156792,34.99,35.1,1919500,2020-04-15
5e95519ef17e20a33adce070,35.5,36.5,35,36,44886700,35.09,34.5,1279300,2020-04-14
5e8eba1ef17e20a33ad6b192,34.5,35,34.5,34.5,289273536,34.51,34.5,8383300,2020-04-09
5e8d689ff17e20a33ad4ba8b,34.5,35,34.45,35,36446936,34.49,34.5,1056800,2020-04-08
5e8c171ff17e20a33ad2fe5e,34.4,35,34.4,35,95179264,34.49,34.8,2759500,2020-04-07
5e8ac59ff17e20a33ad0f2a3,34.8,36.2,34.75,36,82164376,34.81,34.6,2360300,2020-04-06
5e86d11ff17e20a33acd0753,35,35,34.3,34.7,12787340,34.59,34.25,369700,2020-04-03
5e857f9ff17e20a33acb1252,34,35,34,35,46504400,34.25,34.9,1357900,2020-04-02
5e842e1ff17e20a33ac8d0c8,34.8,35,34.75,35,83575816,34.89,35,2395300,2020-04-01
5e82dc9ff17e20a33ac7199b,34.9,36.5,34.85,36,246413712,35,35,7041300,2020-03-31
5e818b20f17e20a33ac5827c,35,37.5,34.95,35,106026576,35.01,35,3028800,2020-03-30
5e7d969ff17e20a33ac2eab3,34.95,36.1,34.85,35.05,68530544,34.99,35.05,1958600,2020-03-27
