id,close,high,low,open,vp,vwap,previous,volume,DATE
5f2110acb19b0b519af06ce0,28.25,28.95,28.25,0,0,28.25,28.3,0,2020-07-29
5f1fbf2bb19b0b519aef64ea,28.3,29,28.15,29,0,28.3,29.35,0,2020-07-28
5f1e792bb19b0b519aee74b9,28.8,29.95,28.2,0,0,28.8,28.1,0,2020-07-27
5f1a8252b19b0b519aec0c19,28.05,28.8,27.85,27.85,0,28.05,27.5,0,2020-07-24
5f19344bb19b0b519aeaf385,28,28.4,26.9,0,0,28,26.85,0,2020-07-23
5f17da96b19b0b519ae9f330,26.85,27.35,26.5,26.95,0,26.85,26.7,0,2020-07-22
5f168ca6b19b0b519ae8f99c,26.5,27.2,26.5,27.2,0,26.5,27,0,2020-07-21
5f153c47b19b0b519ae80d9c,26.9,27.3,26.95,0,0,26.9,27,0,2020-07-20
5f1141e9b19b0b519ae5fe45,26.95,27.25,26.9,27,0,26.95,27,0,2020-07-17
5f0fed2eb19b0b519ae4e05f,27.4,27.45,26.95,27,0,27.4,26.95,0,2020-07-16
5f0e9dc9b19b0b519ae3b59f,27,27.5,26.85,27,0,27,26.95,0,2020-07-15
5f0d50eeb19b0b519ae2abfb,26.95,28.4,26.75,28.4,0,26.95,27.5,0,2020-07-14
5f0bfd16b19b0b519ae1a5ab,27.5,28.4,27.4,27.5,0,27.5,27.5,0,2020-07-13
5f080d51b19b0b519adf7a81,27.5,27.95,27.4,27.95,0,27.5,27.5,0,2020-07-10
5f06be1eb19b0b519ade6640,27.5,28,27.5,28,0,27.5,28,0,2020-07-09
5f0590f6b19b0b519add8473,28,28.5,27.8,0,0,28,28.1,0,2020-07-08
5f041372b19b0b519adc4797,28,30,28,30,0,28,29.1,0,2020-07-07
5f02c61ab19b0b519adb50be,29,30.2,28.9,30,0,29,29.65,0,2020-07-06
5efeca91b19b0b519ad93a62,29.65,30,29,29,0,29.65,29,0,2020-07-03
5efd8280b19b0b519ad82248,29,29.5,28.8,28.95,0,29,28.65,0,2020-07-02
5efc2c42b19b0b519ad6f876,28.8,29,28.65,29,0,28.8,28.65,0,2020-07-01
5efae7a7b19b0b519ad5ea41,28.9,29,28.6,29,0,28.9,28.9,0,2020-06-30
5ef99ae1b19b0b519ad4b703,28.95,29.5,28.8,29,0,28.95,28.5,0,2020-06-29
5ef59728b19b0b519ad286d4,28.7,29,28.25,28.5,0,28.7,28.3,0,2020-06-26
5ef4492bb19b0b519ad16efc,28.5,29.4,28.2,29,0,28.5,28.65,0,2020-06-25
5ef3129fb19b0b519ad068ef,28.5,29.9,28.35,29,0,28.5,29.45,0,2020-06-24
5ef1a3c8b19b0b519acebd56,29.2,30,29,30,0,29.2,30.2,0,2020-06-23
5ef05f36b19b0b519acdc4d5,29.75,30.95,29.75,30.95,0,29.75,30.9,0,2020-06-22
5eec56bfb19b0b519acb4bb3,30.85,31,30.8,30.95,0,30.85,30.95,0,2020-06-19
5eeb16deb19b0b519aca056d,30.9,31,30.7,31,0,30.9,30.95,0,2020-06-18
5ee9b878b19b0b519ac8c104,30.95,31,30.65,30.9,0,30.95,30.95,0,2020-06-17
5ee8602eb19b0b519ac760d8,30.9,31,30.55,30.55,0,30.9,30.45,0,2020-06-16
5ee71a21b19b0b519ac60205,30.7,31,30.25,31,0,30.7,30.45,0,2020-06-15
5ee3283bb19b0b519ac3aaa4,30,30.65,30,30.4,0,30,30.45,0,2020-06-12
5ee1cd21b19b0b519ac238a6,30.6,30.75,29.85,30.1,0,30.6,29.95,0,2020-06-11
5ee0862db19b0b519ac0d470,30.1,30.1,29.65,29.9,0,30.1,29.65,0,2020-06-10
5edf28ecb19b0b519abf6813,29.65,30,29.3,30,0,29.65,29.9,0,2020-06-09
5edde0d4b19b0b519abe3675,29.9,30,29.3,29.5,0,29.9,29.5,0,2020-06-08
5ed9e2eab19b0b519abb6cb9,29.5,29.7,29.05,29.7,0,29.5,29.6,0,2020-06-05
5ed89878b19b0b519aba4f9b,29.55,30,29.3,29.5,0,29.55,29.1,0,2020-06-04
5ed75fa0b19b0b519ab961e3,29.25,29.4,28.7,0,0,29.25,28.55,0,2020-06-03
5ed5fbc1b19b0b519ab81999,28.85,29,28.2,0,0,28.85,28.55,0,2020-06-02
5ed0c555b19b0b519ab4e77a,29,29.1,28.1,28.85,0,29,28.05,0,2020-05-29
5ecf539eb19b0b519ab30c22,28.25,28.6,27.9,28.5,226381744,28.07,28.65,8063900,2020-05-28
5ece021eb19b0b519ab15607,28.5,29.3,28.5,29.3,162822272,28.66,29,5680400,2020-05-27
5eccb09eb19b0b519aaf92b1,29,29.35,28.9,29.3,194360544,29,29.35,6702500,2020-05-26
5ec76a9eb19b0b519aaac1fc,29.3,29.5,28.9,28.9,177830832,29.35,28.8,6058400,2020-05-22
5ec6191fb19b0b519aa9133b,29,29,28.7,29,129505808,28.82,29,4493700,2020-05-21
5ec4c79eb19b0b519aa7520e,29,29.2,28.9,28.9,108158952,29,29.2,3729400,2020-05-20
5ec3761eb19b0b519aa5b55d,29,29.5,29,29.5,257654976,29.18,28.9,8828400,2020-05-19
5ec2249eb19b0b519aa41612,29,29,27.85,28.6,59318920,28.9,27.65,2052300,2020-05-18
5ebe301eb19b0b519aa0f463,28,28.5,27.05,27.2,371131840,27.66,27.1,13420000,2020-05-15
5ebcde9eb19b0b519a9f5008,27,28,26.9,27.8,128716104,27.11,27.8,4747600,2020-05-14
5ebb8d1fb19b0b519a9d9ae2,27.8,28.5,27.5,28.5,291699936,27.78,28,10501800,2020-05-13
5eba3b9eb19b0b519a9bc9c6,28,29,27.9,29,676942592,28,28.3,24178700,2020-05-12
5eb8ea1fb19b0b519a9a125e,28.25,29,28,29,217716384,28.32,28.35,7687100,2020-05-11
